EmpID,Age,AgeGroup,Attrition,BusinessTravel,Department,DistanceFromHome,EducationField,EnvironmentSatisfaction,Gender,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,Over18,OverTime,PercentSalaryHike,PerformanceRating,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
RM689,19,18-25,Yes,Travel_Rarely,Sales,21,Other,Good,Male,1,Sales Representative,Poor,Single,2121,Y,Yes,13,Average,1,1,0,0,0.0
RM854,19,18-25,No,Travel_Rarely,Research & Development,9,Life Sciences,Average,Male,1,Research Scientist,Poor,Single,2552,Y,No,25,Good,1,1,1,0,0.0
RM893,19,18-25,Yes,Non_Travel,Research & Development,10,Medical,Poor,Female,1,Research Scientist,Poor,Single,1859,Y,Yes,25,Good,1,1,1,0,0.0
RM910,19,18-25,No,Travel_Rarely,Research & Development,25,Life Sciences,Poor,Female,1,Research Scientist,Good,Single,2994,Y,Yes,12,Average,1,1,0,0,1.0
RM103,20,18-25,Yes,Travel_Frequently,Research & Development,6,Life Sciences,Good,Female,1,Laboratory Technician,Good,Single,2926,Y,Yes,18,Average,1,1,0,1,0.0
RM488,20,18-25,No,Travel_Rarely,Research & Development,1,Life Sciences,Good,Female,1,Research Scientist,Poor,Single,2836,Y,No,13,Average,1,1,0,0,0.0
RM514,20,18-25,Yes,Travel_Rarely,Research & Development,10,Medical,Good,Male,1,Research Scientist,Average,Single,1009,Y,Yes,11,Average,1,1,0,1,1.0
RM663,20,18-25,Yes,Travel_Rarely,Sales,2,Medical,Average,Female,1,Sales Representative,Average,Single,2044,Y,No,13,Average,2,2,2,0,2.0
RM690,20,18-25,Yes,Travel_Rarely,Research & Development,4,Technical Degree,Poor,Male,1,Laboratory Technician,Poor,Single,2973,Y,No,19,Average,1,1,0,0,0.0
RM732,20,18-25,Yes,Travel_Rarely,Research & Development,11,Medical,Good,Female,1,Research Scientist,Poor,Single,2600,Y,Yes,15,Average,1,1,0,0,0.0
RM777,20,18-25,Yes,Travel_Frequently,Sales,9,Marketing,Good,Female,1,Sales Representative,Good,Single,2323,Y,Yes,14,Average,2,2,2,0,2.0
RM857,20,18-25,No,Travel_Rarely,Research & Development,3,Life Sciences,Poor,Male,1,Laboratory Technician,Average,Single,3033,Y,No,12,Average,2,2,2,1,2.0
RM877,20,18-25,No,Travel_Rarely,Sales,21,Marketing,Average,Male,1,Sales Representative,Good,Single,2678,Y,No,17,Average,2,2,1,2,2.0
RM1179,20,18-25,No,Travel_Rarely,Sales,2,Medical,Average,Female,1,Sales Representative,Average,Single,2783,Y,No,19,Average,2,2,2,2,2.0
RM1198,20,18-25,No,Travel_Rarely,Sales,9,Life Sciences,Good,Male,1,Sales Representative,Poor,Single,2728,Y,No,11,Average,2,2,2,0,2.0
RM024,21,18-25,No,Travel_Rarely,Research & Development,15,Life Sciences,Average,Male,1,Research Scientist,Good,Single,1232,Y,No,14,Average,0,0,0,0,3.0
RM275,21,18-25,No,Travel_Rarely,Research & Development,3,Medical,Good,Male,1,Research Scientist,Average,Single,3230,Y,No,17,Average,3,3,2,1,0.0
RM358,21,18-25,Yes,Travel_Frequently,Sales,1,Technical Degree,Poor,Female,1,Sales Representative,Poor,Single,2174,Y,Yes,11,Average,3,3,2,1,2.0
RM363,21,18-25,No,Non_Travel,Sales,9,Medical,Poor,Male,1,Sales Representative,Good,Single,2610,Y,No,24,Good,3,3,2,2,3.0
RM371,21,18-25,Yes,Travel_Rarely,Sales,12,Life Sciences,Average,Female,1,Sales Representative,Poor,Single,2716,Y,No,15,Average,1,1,0,0,0.0
RM497,21,18-25,No,Travel_Rarely,Sales,22,Technical Degree,Average,Male,1,Sales Representative,Average,Single,3447,Y,No,11,Average,3,3,2,1,2.0
RM664,21,18-25,Yes,Travel_Rarely,Research & Development,18,Other,Good,Female,1,Research Scientist,Good,Single,2693,Y,No,19,Average,1,1,0,0,0.0
RM778,21,18-25,Yes,Travel_Rarely,Research & Development,10,Life Sciences,Average,Female,1,Laboratory Technician,Poor,Single,1416,Y,No,13,Average,1,1,0,1,0.0
RM816,21,18-25,No,Travel_Rarely,Research & Development,1,Technical Degree,Good,Female,1,Research Scientist,Poor,Single,2070,Y,Yes,11,Average,2,2,2,2,2.0
RM916,21,18-25,Yes,Travel_Frequently,Research & Development,10,Life Sciences,Poor,Female,1,Laboratory Technician,Average,Single,2625,Y,No,20,Good,2,2,2,2,2.0
RM1153,21,18-25,No,Travel_Rarely,Research & Development,5,Medical,Average,Male,1,Research Scientist,Good,Single,3117,Y,No,18,Average,3,2,2,2,2.0
RM1272,21,18-25,Yes,Travel_Rarely,Sales,7,Marketing,Poor,Male,1,Sales Representative,Poor,Single,2679,Y,No,13,Average,1,1,0,1,0.0
RM1437,21,18-25,No,Travel_Rarely,Sales,5,Medical,Average,Male,1,Sales Representative,Poor,Single,2380,Y,Yes,11,Average,2,2,2,1,2.0
RM018,22,18-25,No,Non_Travel,Research & Development,16,Medical,Good,Male,1,Laboratory Technician,Good,Divorced,2935,Y,Yes,13,Average,1,1,0,0,0.0
RM110,22,18-25,No,Travel_Rarely,Research & Development,15,Medical,Poor,Female,1,Laboratory Technician,Good,Single,2871,Y,No,15,Average,1,0,0,0,0.0
RM129,22,18-25,No,Travel_Rarely,Research & Development,2,Technical Degree,Average,Male,1,Laboratory Technician,Good,Married,2523,Y,No,14,Average,3,2,1,2,1.0
RM161,22,18-25,No,Travel_Rarely,Research & Development,19,Medical,Average,Male,1,Research Scientist,Good,Married,2323,Y,No,24,Good,2,2,2,2,2.0
RM207,22,18-25,No,Travel_Rarely,Research & Development,5,Life Sciences,Good,Male,1,Research Scientist,Poor,Divorced,2328,Y,Yes,16,Average,4,4,2,2,3.0
RM384,22,18-25,No,Travel_Rarely,Research & Development,11,Medical,Poor,Female,1,Research Scientist,Poor,Married,2244,Y,No,13,Average,2,2,1,1,2.0
RM444,22,18-25,Yes,Travel_Frequently,Research & Development,4,Technical Degree,Average,Male,1,Laboratory Technician,Average,Single,3894,Y,No,16,Average,4,2,2,1,2.0
RM499,22,18-25,No,Travel_Rarely,Research & Development,6,Medical,Poor,Male,1,Research Scientist,Average,Married,2773,Y,No,20,Good,3,2,2,2,2.0
RM631,22,18-25,No,Travel_Rarely,Research & Development,1,Life Sciences,Good,Male,2,Manufacturing Director,Good,Married,4775,Y,No,22,Good,4,2,2,2,2.0
RM667,22,18-25,Yes,Travel_Rarely,Research & Development,3,Life Sciences,Poor,Female,2,Manufacturing Director,Average,Married,4171,Y,Yes,19,Average,4,3,2,0,2.0
RM735,22,18-25,No,Travel_Rarely,Research & Development,8,Life Sciences,Poor,Male,1,Laboratory Technician,Poor,Married,2451,Y,No,15,Average,4,4,3,1,1.0
RM861,22,18-25,Yes,Travel_Frequently,Research & Development,3,Life Sciences,Average,Male,1,Research Scientist,Good,Married,2853,Y,Yes,11,Average,1,0,0,0,0.0
RM1138,22,18-25,No,Non_Travel,Research & Development,26,Other,Poor,Female,1,Research Scientist,Average,Married,2814,Y,Yes,14,Average,4,4,2,1,3.0
RM1274,22,18-25,Yes,Travel_Rarely,Research & Development,8,Medical,Average,Female,1,Laboratory Technician,Poor,Married,2398,Y,Yes,17,Average,1,1,0,0,0.0
RM1340,22,18-25,Yes,Travel_Rarely,Research & Development,7,Life Sciences,Good,Male,1,Research Scientist,Poor,Single,2472,Y,Yes,23,Good,1,1,0,0,0.0
RM1424,22,18-25,No,Travel_Rarely,Research & Development,1,Life Sciences,Good,Male,1,Research Scientist,Average,Single,3375,Y,No,12,Average,4,3,2,1,2.0
RM087,23,18-25,No,Travel_Rarely,Sales,2,Technical Degree,Average,Male,1,Sales Representative,Poor,Divorced,2322,Y,No,13,Average,3,0,0,0,0.0
RM346,23,18-25,No,Travel_Rarely,Research & Development,26,Life Sciences,Average,Male,1,Research Scientist,Good,Divorced,2904,Y,No,12,Average,4,4,2,0,2.0
RM517,23,18-25,No,Travel_Rarely,Research & Development,4,Medical,Poor,Male,1,Research Scientist,Poor,Married,2819,Y,No,16,Average,5,3,2,0,2.0
RM551,23,18-25,No,Travel_Rarely,Research & Development,9,Medical,Poor,Male,1,Laboratory Technician,Poor,Married,2500,Y,No,14,Average,5,4,3,0,2.0
RM566,23,18-25,No,Travel_Rarely,Research & Development,10,Medical,Poor,Male,1,Research Scientist,Average,Single,3505,Y,No,18,Average,2,2,2,0,2.0
RM586,23,18-25,Yes,Travel_Rarely,Research & Development,6,Life Sciences,Average,Male,1,Laboratory Technician,Poor,Married,1601,Y,Yes,21,Good,1,0,0,0,0.0
RM911,23,18-25,No,Travel_Rarely,Research & Development,1,Life Sciences,Good,Male,1,Research Scientist,Average,Married,1223,Y,No,22,Good,1,1,0,0,1.0
RM1083,23,18-25,No,Travel_Rarely,Research & Development,20,Life Sciences,Poor,Male,2,Laboratory Technician,Average,Single,2272,Y,No,14,Average,5,4,3,1,2.0
RM1128,23,18-25,No,Travel_Rarely,Research & Development,10,Technical Degree,Good,Male,1,Research Scientist,Average,Married,2073,Y,No,16,Average,4,2,2,2,2.0
RM1202,23,18-25,Yes,Travel_Rarely,Research & Development,8,Medical,Good,Male,1,Laboratory Technician,Average,Single,3989,Y,Yes,11,Average,5,5,4,1,2.0
RM1214,23,18-25,Yes,Travel_Rarely,Sales,7,Life Sciences,Average,Male,1,Sales Representative,Good,Divorced,2275,Y,Yes,21,Good,3,3,2,0,2.0
RM1239,23,18-25,No,Travel_Rarely,Research & Development,4,Medical,Average,Female,1,Laboratory Technician,Poor,Single,3295,Y,No,13,Average,3,3,2,1,2.0
RM1409,23,18-25,No,Travel_Rarely,Research & Development,12,Other,Good,Male,1,Laboratory Technician,Good,Single,2647,Y,No,13,Average,5,5,2,1,4.0
RM1439,23,18-25,Yes,Travel_Frequently,Sales,9,Marketing,Good,Male,1,Sales Representative,Poor,Married,1790,Y,No,19,Average,1,1,0,1,0.0
RM021,24,18-25,No,Non_Travel,Research & Development,11,Other,Poor,Female,2,Manufacturing Director,Average,Divorced,4011,Y,No,18,Average,5,4,2,1,3.0
RM035,24,18-25,Yes,Travel_Rarely,Research & Development,1,Medical,Poor,Male,1,Research Scientist,Good,Married,2293,Y,Yes,16,Average,6,2,0,2,0.0
RM097,24,18-25,No,Travel_Rarely,Sales,3,Other,Poor,Female,2,Sales Executive,Average,Married,4999,Y,No,21,Good,4,3,2,0,2.0
RM114,24,18-25,No,Travel_Rarely,Research & Development,18,Life Sciences,Poor,Male,1,Laboratory Technician,Average,Married,2774,Y,No,12,Average,6,5,3,1,2.0
RM381,24,18-25,No,Travel_Rarely,Sales,10,Marketing,Good,Female,2,Sales Executive,Average,Divorced,4260,Y,Yes,12,Average,5,5,2,0,3.0
RM415,24,18-25,Yes,Travel_Rarely,Sales,1,Technical Degree,Poor,Female,1,Sales Representative,Poor,Single,3202,Y,Yes,16,Average,6,5,3,1,4.0
RM471,24,18-25,No,Travel_Frequently,Sales,24,Medical,Good,Male,1,Sales Representative,Good,Married,2400,Y,No,13,Average,3,2,2,2,1.0
RM475,24,18-25,No,Travel_Rarely,Research & Development,23,Medical,Poor,Male,1,Research Scientist,Good,Married,2725,Y,Yes,11,Average,6,6,5,1,4.0
RM477,24,18-25,No,Travel_Rarely,Research & Development,17,Other,Good,Male,1,Laboratory Technician,Poor,Married,2127,Y,No,21,Good,1,1,0,0,0.0
RM480,24,18-25,Yes,Travel_Frequently,Research & Development,7,Life Sciences,Poor,Female,1,Laboratory Technician,Average,Married,2886,Y,Yes,16,Average,6,6,3,1,2.0
RM526,24,18-25,Yes,Travel_Rarely,Sales,3,Life Sciences,Poor,Female,2,Sales Executive,Average,Single,4577,Y,No,14,Average,4,2,2,2,0.0
RM587,24,18-25,No,Non_Travel,Research & Development,9,Life Sciences,Average,Male,1,Laboratory Technician,Poor,Divorced,2694,Y,No,11,Average,1,1,0,0,0.0
RM641,24,18-25,No,Non_Travel,Research & Development,4,Life Sciences,Poor,Male,1,Laboratory Technician,Good,Married,3162,Y,No,17,Average,6,5,2,3,4.0
RM725,24,18-25,No,Travel_Rarely,Research & Development,17,Medical,Good,Female,2,Manufacturing Director,Average,Divorced,4377,Y,No,15,Average,5,4,2,3,2.0
RM842,24,18-25,No,Travel_Rarely,Research & Development,24,Medical,Good,Male,1,Laboratory Technician,Poor,Single,3597,Y,No,22,Good,6,4,3,1,2.0
RM872,24,18-25,Yes,Travel_Rarely,Research & Development,17,Life Sciences,Good,Female,1,Laboratory Technician,Poor,Married,2210,Y,No,13,Average,1,1,0,0,0.0
RM1026,24,18-25,No,Travel_Rarely,Sales,4,Medical,Good,Female,2,Sales Executive,Average,Married,4162,Y,Yes,12,Average,5,5,4,0,3.0
RM1061,24,18-25,Yes,Travel_Frequently,Research & Development,9,Medical,Poor,Male,1,Laboratory Technician,Poor,Single,3172,Y,Yes,11,Average,4,0,0,0,0.0
RM1062,24,18-25,No,Non_Travel,Sales,13,Life Sciences,Good,Female,1,Sales Representative,Poor,Married,2033,Y,No,13,Average,1,1,0,0,0.0
RM1098,24,18-25,No,Travel_Rarely,Research & Development,21,Technical Degree,Average,Male,1,Laboratory Technician,Poor,Divorced,2296,Y,No,14,Average,2,1,1,0,0.0
RM1169,24,18-25,No,Travel_Frequently,Research & Development,2,Technical Degree,Poor,Female,1,Research Scientist,Good,Single,3760,Y,Yes,13,Average,6,6,3,1,3.0
RM1218,24,18-25,No,Travel_Rarely,Research & Development,9,Medical,Average,Male,1,Research Scientist,Average,Married,4401,Y,No,16,Average,5,5,3,0,4.0
RM1223,24,18-25,Yes,Travel_Rarely,Human Resources,22,Human Resources,Good,Male,1,Human Resources,Average,Married,1555,Y,No,11,Average,1,1,0,0,0.0
RM1231,24,18-25,No,Travel_Rarely,Research & Development,29,Medical,Poor,Male,1,Laboratory Technician,Poor,Divorced,3907,Y,No,13,Average,6,6,2,1,2.0
RM1246,24,18-25,No,Travel_Frequently,Human Resources,10,Medical,Poor,Male,1,Human Resources,Good,Married,2145,Y,No,14,Average,3,2,2,2,1.0
RM1408,24,18-25,No,Travel_Rarely,Research & Development,1,Life Sciences,Poor,Male,2,Healthcare Representative,Average,Single,4617,Y,No,12,Average,4,4,3,1,2.0
RM108,25,18-25,Yes,Travel_Rarely,Sales,5,Marketing,Average,Male,2,Sales Executive,Average,Single,5744,Y,Yes,11,Average,6,6,4,0,3.0
RM109,25,18-25,No,Travel_Rarely,Research & Development,7,Medical,Good,Male,1,Research Scientist,Good,Married,2889,Y,No,11,Average,2,2,2,2,1.0
RM139,25,18-25,No,Travel_Rarely,Sales,28,Life Sciences,Poor,Male,2,Sales Executive,Average,Married,8639,Y,No,18,Average,6,2,2,2,3.0
RM256,25,18-25,No,Travel_Rarely,Research & Development,1,Life Sciences,Poor,Female,2,Manufacturing Director,Average,Married,4898,Y,No,12,Average,5,4,2,1,3.0
RM268,25,18-25,No,Non_Travel,Research & Development,5,Life Sciences,Poor,Male,2,Healthcare Representative,Poor,Divorced,4000,Y,No,12,Average,6,6,3,1,5.0
RM398,25,18-25,No,Travel_Rarely,Sales,4,Life Sciences,Poor,Female,2,Sales Executive,Good,Single,4487,Y,Yes,11,Average,5,5,4,1,3.0
RM406,25,18-25,Yes,Travel_Rarely,Research & Development,3,Medical,Poor,Male,1,Laboratory Technician,Poor,Married,4031,Y,No,13,Average,6,2,2,0,3.0
RM479,25,18-25,No,Travel_Rarely,Sales,13,Medical,Poor,Male,1,Sales Representative,Average,Married,2096,Y,No,11,Average,7,7,4,0,6.0
RM518,25,18-25,No,Travel_Rarely,Sales,8,Life Sciences,Good,Male,2,Sales Executive,Poor,Married,4851,Y,No,22,Good,4,3,2,1,2.0
RM564,25,18-25,No,Travel_Rarely,Sales,26,Medical,Average,Female,2,Sales Executive,Good,Single,6180,Y,No,23,Good,6,6,5,1,4.0
RM619,25,18-25,No,Travel_Rarely,Research & Development,2,Medical,Poor,Male,1,Research Scientist,Poor,Single,3424,Y,No,13,Average,6,4,3,0,1.0
RM635,25,18-25,No,Travel_Rarely,Sales,3,Other,Average,Male,2,Sales Executive,Poor,Married,4194,Y,Yes,18,Average,5,5,3,0,3.0
RM639,25,18-25,No,Travel_Rarely,Sales,4,Marketing,Average,Male,2,Sales Executive,Poor,Married,4256,Y,No,12,Average,5,5,2,0,3.0
RM684,25,18-25,Yes,Travel_Rarely,Sales,19,Marketing,Average,Male,1,Sales Representative,Poor,Married,2413,Y,Yes,18,Average,1,1,0,0,0.0
RM797,25,18-25,Yes,Travel_Rarely,Research & Development,4,Technical Degree,Good,Male,1,Laboratory Technician,Good,Married,3691,Y,Yes,15,Average,7,7,7,5,6.0
RM886,25,18-25,No,Travel_Rarely,Sales,10,Life Sciences,Average,Male,2,Sales Executive,Good,Single,4950,Y,No,14,Average,5,4,3,1,1.0
RM912,25,18-25,Yes,Travel_Frequently,Sales,24,Life Sciences,Average,Male,1,Sales Representative,Good,Single,1118,Y,Yes,14,Average,1,1,0,1,0.0
RM935,25,18-25,No,Travel_Rarely,Research & Development,1,Medical,Good,Female,1,Research Scientist,Poor,Single,2096,Y,No,18,Average,2,2,2,2,1.0
RM966,25,18-25,No,Travel_Rarely,Research & Development,19,Medical,Good,Male,1,Laboratory Technician,Good,Married,3669,Y,No,11,Average,7,3,2,1,2.0
RM994,25,18-25,No,Travel_Rarely,Sales,18,Life Sciences,Poor,Male,2,Sales Executive,Average,Married,6232,Y,No,11,Average,6,3,2,1,2.0
RM1004,25,18-25,No,Travel_Rarely,Research & Development,1,Technical Degree,Poor,Male,1,Laboratory Technician,Good,Married,3229,Y,No,11,Average,7,3,2,0,2.0
RM1022,25,18-25,Yes,Travel_Rarely,Sales,9,Life Sciences,Poor,Male,1,Sales Representative,Poor,Married,4400,Y,No,12,Average,6,3,2,2,2.0
RM1175,25,18-25,No,Travel_Frequently,Research & Development,2,Life Sciences,Good,Male,2,Manufacturing Director,Average,Divorced,5206,Y,No,17,Average,7,7,7,0,7.0
RM1412,25,18-25,No,Travel_Rarely,Human Resources,2,Human Resources,Average,Female,1,Human Resources,Poor,Married,2187,Y,No,14,Average,6,2,0,1,2.0
RM1414,25,18-25,No,Travel_Rarely,Research & Development,2,Other,Good,Male,1,Laboratory Technician,Average,Divorced,3977,Y,Yes,19,Average,7,2,2,0,2.0
RM1434,25,18-25,No,Travel_Rarely,Sales,8,Other,Poor,Female,2,Sales Executive,Average,Divorced,4907,Y,Yes,22,Good,6,5,3,0,4.0
RM043,26,26-35,Yes,Travel_Rarely,Research & Development,25,Life Sciences,Poor,Male,1,Laboratory Technician,Average,Single,2293,Y,No,12,Average,1,1,0,0,1.0
RM055,26,26-35,No,Travel_Rarely,Sales,23,Marketing,Average,Female,2,Sales Executive,Good,Married,4157,Y,Yes,19,Average,5,2,2,0,0.0
RM126,26,26-35,No,Travel_Rarely,Research & Development,6,Other,Average,Female,1,Research Scientist,Poor,Married,2368,Y,No,19,Average,5,5,4,4,3.0
RM135,26,26-35,No,Travel_Rarely,Human Resources,25,Life Sciences,Average,Female,1,Human Resources,Average,Married,2942,Y,No,23,Good,8,8,7,5,7.0
RM279,26,26-35,No,Travel_Frequently,Research & Development,1,Life Sciences,Average,Female,2,Manufacturing Director,Poor,Divorced,6397,Y,No,20,Good,6,6,5,1,4.0
RM285,26,26-35,No,Travel_Frequently,Research & Development,11,Medical,Poor,Male,2,Healthcare Representative,Poor,Married,4741,Y,Yes,13,Average,5,5,3,3,3.0
RM289,26,26-35,Yes,Travel_Rarely,Research & Development,16,Medical,Poor,Male,1,Laboratory Technician,Poor,Divorced,2373,Y,Yes,13,Average,5,3,2,0,2.0
RM294,26,26-35,Yes,Travel_Rarely,Sales,4,Marketing,Good,Male,2,Sales Executive,Good,Single,5828,Y,Yes,12,Average,8,8,7,7,4.0
RM356,26,26-35,No,Travel_Rarely,Sales,1,Life Sciences,Average,Male,2,Sales Executive,Average,Married,5296,Y,No,17,Average,8,8,7,7,7.0
RM383,26,26-35,Yes,Travel_Frequently,Research & Development,3,Technical Degree,Average,Male,1,Research Scientist,Poor,Single,3102,Y,No,22,Good,7,6,4,0,4.0
RM419,26,26-35,No,Travel_Rarely,Research & Development,23,Life Sciences,Poor,Female,1,Research Scientist,Good,Divorced,2886,Y,No,22,Good,3,3,2,0,2.0
RM454,26,26-35,Yes,Travel_Frequently,Human Resources,17,Life Sciences,Poor,Female,1,Human Resources,Average,Divorced,2741,Y,Yes,11,Average,8,7,7,1,0.0
RM461,26,26-35,No,Travel_Rarely,Sales,29,Medical,Poor,Male,2,Sales Executive,Average,Divorced,4306,Y,No,12,Average,8,0,0,0,0.0
RM464,26,26-35,Yes,Travel_Rarely,Research & Development,24,Technical Degree,Average,Male,1,Laboratory Technician,Good,Single,2340,Y,Yes,18,Average,1,1,0,0,0.0
RM476,26,26-35,No,Travel_Rarely,Sales,28,Marketing,Poor,Male,2,Sales Executive,Poor,Married,6272,Y,No,20,Good,6,5,3,1,4.0
RM506,26,26-35,No,Travel_Rarely,Research & Development,6,Life Sciences,Average,Female,1,Laboratory Technician,Good,Married,2659,Y,Yes,13,Average,3,3,2,0,2.0
RM572,26,26-35,No,Travel_Frequently,Research & Development,1,Life Sciences,Poor,Female,1,Laboratory Technician,Good,Divorced,4364,Y,No,14,Average,5,2,2,2,0.0
RM574,26,26-35,Yes,Travel_Rarely,Sales,8,Technical Degree,Good,Male,2,Sales Executive,Poor,Single,5326,Y,No,17,Average,6,4,3,1,2.0
RM615,26,26-35,Yes,Travel_Frequently,Research & Development,5,Medical,Average,Female,1,Research Scientist,Average,Married,2366,Y,Yes,14,Average,8,8,7,1,7.0
RM686,26,26-35,No,Travel_Frequently,Sales,1,Medical,Average,Male,2,Sales Executive,Poor,Single,4294,Y,No,12,Average,7,7,7,0,7.0
RM734,26,26-35,No,Travel_Rarely,Research & Development,2,Medical,Good,Male,2,Manufacturing Director,Good,Married,5472,Y,No,12,Average,8,8,7,1,3.0
RM749,26,26-35,Yes,Non_Travel,Sales,29,Medical,Poor,Male,2,Sales Executive,Poor,Single,4969,Y,No,18,Average,7,2,2,2,2.0
RM763,26,26-35,Yes,Travel_Frequently,Research & Development,2,Life Sciences,Poor,Male,1,Research Scientist,Poor,Married,2042,Y,Yes,14,Average,6,3,2,1,2.0
RM770,26,26-35,No,Travel_Frequently,Research & Development,1,Medical,Poor,Female,1,Research Scientist,Average,Divorced,2007,Y,No,13,Average,5,5,3,1,3.0
RM782,26,26-35,No,Travel_Rarely,Research & Development,1,Medical,Poor,Male,1,Laboratory Technician,Poor,Married,3955,Y,No,16,Average,6,5,3,1,3.0
RM798,26,26-35,Yes,Travel_Rarely,Research & Development,21,Medical,Poor,Male,1,Laboratory Technician,Average,Divorced,2377,Y,No,20,Good,1,1,1,0,0.0
RM844,26,26-35,No,Travel_Rarely,Research & Development,3,Medical,Poor,Male,1,Laboratory Technician,Good,Married,4420,Y,No,22,Good,8,8,7,0,7.0
RM913,26,26-35,No,Travel_Rarely,Research & Development,4,Life Sciences,Average,Male,1,Research Scientist,Good,Single,2875,Y,Yes,20,Good,8,8,5,2,2.0
RM999,26,26-35,No,Travel_Rarely,Research & Development,2,Medical,Poor,Male,1,Research Scientist,Good,Single,3904,Y,No,12,Average,5,4,3,1,1.0
RM1005,26,26-35,No,Travel_Rarely,Research & Development,7,Other,Average,Male,1,Laboratory Technician,Poor,Single,3578,Y,No,12,Average,8,7,7,0,7.0
RM1119,26,26-35,No,Travel_Rarely,Research & Development,3,Life Sciences,Poor,Female,1,Research Scientist,Good,Married,2061,Y,No,21,Good,1,1,0,0,0.0
RM1207,26,26-35,No,Non_Travel,Research & Development,7,Medical,Good,Male,1,Laboratory Technician,Good,Single,2570,Y,No,20,Good,7,7,7,5,7.0
RM1225,26,26-35,No,Travel_Rarely,Research & Development,17,Medical,Good,Male,1,Laboratory Technician,Average,Married,2305,Y,No,15,Average,3,3,2,0,2.0
RM1298,26,26-35,Yes,Travel_Rarely,Human Resources,20,Medical,Good,Female,1,Human Resources,Poor,Married,2148,Y,Yes,11,Average,6,5,1,1,4.0
RM1310,26,26-35,No,Travel_Rarely,Sales,10,Medical,Average,Male,2,Sales Executive,Good,Single,4684,Y,No,13,Average,5,5,3,1,2.0
RM1350,26,26-35,No,Travel_Rarely,Research & Development,1,Life Sciences,Poor,Female,1,Research Scientist,Average,Married,2933,Y,Yes,13,Average,1,1,0,1,0.0
RM1362,26,26-35,No,Travel_Frequently,Research & Development,6,Other,Average,Male,1,Laboratory Technician,Good,Married,2544,Y,No,18,Average,8,7,7,7,7.0
RM1387,26,26-35,No,Travel_Rarely,Research & Development,1,Medical,Average,Male,1,Laboratory Technician,Poor,Single,2867,Y,No,13,Average,8,7,7,7,6.0
RM1465,26,26-35,No,Travel_Rarely,Sales,5,Other,Good,Female,1,Sales Representative,Average,Single,2966,Y,No,18,Average,5,4,2,0,0.0
RM1465,26,26-35,No,Travel_Rarely,Sales,5,Other,Good,Female,1,Sales Representative,Average,Single,2966,Y,No,18,Average,5,4,2,0,5.0
RM005,27,26-35,No,Travel_Rarely,Research & Development,2,Medical,Poor,Male,1,Laboratory Technician,Poor,Married,3468,Y,No,12,Average,6,2,2,2,2.0
